Exam Name,# of Exam Takers,Cronbach's Alpha,Stdev,Mean,% Mean,Median Pts,Min Pts,Max Pts,Total Pts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 PHAR XXX Midterm II,196,0.876421,0.172377,121.428552,72.2789,123.99996,31.999968,172.00008,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item #,Question Type #,Diff(p),Upper,Lower,Disc. Index,Point Biserial,Correct Answer,# Unanswered,% Unanswered,Item Text,PerfHist - # Correct,PerfHist - # Incorrect,PerfHist - # Not Attempted,PerfHist - Difficulty,Item Description,Item ID,Item Rev,GiveFullCreditToAllETs,BonusItem,AvgAnswerTime,Rationale,A - Text,A - Correct,A - # Selected,A - % Selected,A - Point Biserial,A - Disc. Index,A - Upper,A - Lower,B - Text,B - Correct,B - # Selected,B - % Selected,B - Point Biserial,B - Disc. Index,B - Upper,B - Lower,C - Text,C - Correct,C - # Selected,C - % Selected,C - Point Biserial,C - Disc. Index,C - Upper,C - Lower,D - Text,D - Correct,D - # Selected,D - % Selected,D - Point Biserial,D - Disc. Index,D - Upper,D - Lower,E - Text,E - Correct,E - # Selected,E - % Selected,E - Point Biserial,E - Disc. Index,E - Upper,E - Lower
1,MC,0.831633,0.981818,0.684211,0.297608,0.291508,D,0,0,Item Text Example Placeholder,169,34,0,0.832512,Desciptor Placeholder,132719,4,FALSE,FALSE,1:50,,A Text Placeholder,FALSE,1,0.510204082,0.06288022,-0.01754386,0,0.01754386,B Text Placeholder,FALSE,19,9.693877551,0.17336175,-0.157256778,0.018181818,0.175438596,C Text Placeholder,FALSE,3,1.530612245,-0.02829147,0,0,0,D Text Placeholder,TRUE,163,83.16326531,0.29150797,0.297607656,0.981818182,0.684210526,E Text Placeholder,FALSE,10,5.102040816,0.25804473,-0.122807018,0,0.122807018
2,MC,0.887755,0.981818,0.77193,0.209888,0.260879,E,0,0,Item Text Example Placeholder,186,25,0,0.881517,Desciptor Placeholder,132720,4,FALSE,FALSE,1:07,,A Text Placeholder,FALSE,3,1.530612245,0.21854001,-0.052631579,0,0.052631579,B Text Placeholder,FALSE,12,6.12244898,0.10372169,-0.08708134,0.018181818,0.105263158,C Text Placeholder,FALSE,2,1.020408163,0.13824053,-0.035087719,0,0.035087719,D Text Placeholder,FALSE,5,2.551020408,0.1063127,-0.035087719,0,0.035087719,E Text Placeholder,TRUE,174,88.7755102,0.26087945,0.209888357,0.981818182,0.771929825
3,MC,0.52551,0.854545,0.22807,0.626475,0.509771,C,0,0,Item Text Example Placeholder,107,96,0,0.527094,Desciptor Placeholder,132721,3,FALSE,FALSE,5:02,,A Text Placeholder,FALSE,22,11.2244898,0.3702702,-0.280063796,0.018181818,0.298245614,B Text Placeholder,FALSE,2,1.020408163,0.16628963,-0.035087719,0,0.035087719,C Text Placeholder,TRUE,103,52.55102041,0.50977131,0.626475279,0.854545455,0.228070175,D Text Placeholder,FALSE,40,20.40816327,0.12814373,-0.190430622,0.072727273,0.263157895,E Text Placeholder,FALSE,29,14.79591837,0.19521777,-0.120893142,0.054545455,0.175438596
4,MC,0.704082,0.981818,0.385965,0.595853,0.461183,E,0,0,Item Text Example Placeholder,146,65,0,0.691943,Desciptor Placeholder,132722,3,FALSE,FALSE,2:22,,A Text Placeholder,FALSE,7,3.571428571,0.18797326,-0.105263158,0,0.105263158,B Text Placeholder,FALSE,0,0,0,0,0,0,C Text Placeholder,FALSE,15,7.653061224,0.20771313,-0.157894737,0,0.157894737,D Text Placeholder,FALSE,36,18.36734694,0.31095116,-0.332695375,0.018181818,0.350877193,E Text Placeholder,TRUE,138,70.40816327,0.4611825,0.59585327,0.981818182,0.385964912
5,MC,0.770408,0.945455,0.596491,0.348963,0.352,D,0,0,Item Text Example Placeholder,155,48,0,0.763547,Desciptor Placeholder,132723,2,FALSE,FALSE,3:24,,A Text Placeholder,FALSE,7,3.571428571,0.14620139,-0.06953748,0.018181818,0.087719298,B Text Placeholder,FALSE,31,15.81632653,0.18167944,-0.174162679,0.036363636,0.210526316,C Text Placeholder,FALSE,5,2.551020408,0.25827928,-0.070175439,0,0.070175439,D Text Placeholder,TRUE,151,77.04081633,0.35200034,0.348963317,0.945454545,0.596491228,E Text Placeholder,FALSE,2,1.020408163,0.13824082,-0.035087719,0,0.035087719
6,MC,0.821429,1,0.508772,0.491228,0.541887,B,1,0.510204082,Item Text Example Placeholder,173,38,1,0.82381,Desciptor Placeholder,132724,2,FALSE,FALSE,2:08,,A Text Placeholder,FALSE,6,3.06122449,0.18467461,-0.070175439,0,0.070175439,B Text Placeholder,TRUE,161,82.14285714,0.54188729,0.49122807,1,0.50877193,C Text Placeholder,FALSE,9,4.591836735,0.18253349,-0.087719298,0,0.087719298,D Text Placeholder,FALSE,18,9.183673469,0.43784052,-0.315789474,0,0.315789474,E Text Placeholder,FALSE,1,0.510204082,0.02331506,0,0,0
7,MC,0.673469,0.872727,0.421053,0.451675,0.428076,A,0,0,Item Text Example Placeholder,135,68,0,0.665025,Desciptor Placeholder,132725,2,FALSE,FALSE,1:40,,A Text Placeholder,TRUE,132,67.34693878,0.42807598,0.451674641,0.872727273,0.421052632,B Text Placeholder,FALSE,46,23.46938776,0.24681048,-0.223604466,0.127272727,0.350877193,C Text Placeholder,FALSE,3,1.530612245,0.05207207,-0.035087719,0,0.035087719,D Text Placeholder,FALSE,3,1.530612245,0.18409849,-0.052631579,0,0.052631579,E Text Placeholder,FALSE,12,6.12244898,0.28009096,-0.140350877,0,0.140350877
8,MC,0.770408,0.927273,0.491228,0.436045,0.467618,A,1,0.510204082,Item Text Example Placeholder,156,47,1,0.772277,Desciptor Placeholder,132726,3,FALSE,FALSE,2:29,,A Text Placeholder,TRUE,151,77.04081633,0.46761796,0.436044657,0.927272727,0.49122807,B Text Placeholder,FALSE,2,1.020408163,0.13122847,-0.035087719,0,0.035087719,C Text Placeholder,FALSE,16,8.163265306,0.31069418,-0.157256778,0.018181818,0.175438596,D Text Placeholder,FALSE,15,7.653061224,0.22892005,-0.15661882,0.036363636,0.192982456,E Text Placeholder,FALSE,11,5.612244898,0.12225642,-0.06953748,0.018181818,0.087719298
9,MC,0.642857,0.854545,0.421053,0.433493,0.3971,C,0,0,Item Text Example Placeholder,130,73,0,0.640394,Desciptor Placeholder,132727,2,FALSE,FALSE,2:13,,A Text Placeholder,FALSE,36,18.36734694,0.27455258,-0.243700159,0.054545455,0.298245614,B Text Placeholder,FALSE,7,3.571428571,0.16139097,-0.06953748,0.018181818,0.087719298,C Text Placeholder,TRUE,126,64.28571429,0.39710032,0.433492823,0.854545455,0.421052632,D Text Placeholder,FALSE,21,10.71428571,0.09683479,-0.067623604,0.072727273,0.140350877,E Text Placeholder,FALSE,6,3.06122449,0.13967472,-0.052631579,0,0.052631579
10,MC,0.719388,0.945455,0.473684,0.47177,0.455868,D,0,0,Item Text Example Placeholder,153,58,0,0.725118,Desciptor Placeholder,132728,3,FALSE,FALSE,2:26,,A Text Placeholder,FALSE,6,3.06122449,0.15603828,-0.070175439,0,0.070175439,B Text Placeholder,FALSE,19,9.693877551,0.309125,-0.227432217,0.018181818,0.245614035,C Text Placeholder,FALSE,16,8.163265306,0.10221646,-0.068899522,0.036363636,0.105263158,D Text Placeholder,TRUE,141,71.93877551,0.4558683,0.471770335,0.945454545,0.473684211,E Text Placeholder,FALSE,14,7.142857143,0.2271168,-0.105263158,0,0.105263158
